Data;Wojewodztwo;Liczba wykonanych testów
17.03.2020;Małopolskie;65
17.03.2020;Mazowieckie;396
17.03.2020;Opolskie;37
17.03.2020;Podkarpackie;84
17.03.2020;Podlaskie;8
17.03.2020;Pomorskie;109
17.03.2020;Śląskie;112
17.03.2020;Świętokrzyskie;37
17.03.2020;Warmińsko-Mazurskie;115
17.03.2020;Wielkopolskie;58
17.03.2020;Zachodniopomorskie;58
18.03.2020;Dolnośląskie;167
18.03.2020;Lubelskie;187
18.03.2020;Lubuskie;98
18.03.2020;Łódzkie;215
18.03.2020;Małopolskie;63
18.03.2020;Mazowieckie;303
18.03.2020;Opolskie;24
18.03.2020;Podkarpackie;110
18.03.2020;Podlaskie;35
18.03.2020;Pomorskie;76
18.03.2020;Śląskie;127
18.03.2020;Świętokrzyskie;50
18.03.2020;Warmińsko-Mazurskie;88
18.03.2020;Wielkopolskie;130
18.03.2020;Zachodniopomorskie;84
19.03.2020;Dolnośląskie;152
19.03.2020;Kujawsko-Pomorskie;56
19.03.2020;Lubelskie;127
19.03.2020;Lubuskie;98
19.03.2020;Łódzkie;40
19.03.2020;Małopolskie;76
19.03.2020;Mazowieckie;405
19.03.2020;Opolskie;48
19.03.2020;Podkarpackie;106
19.03.2020;Podlaskie;36
19.03.2020;Pomorskie;110
19.03.2020;Śląskie;180
19.03.2020;Świętokrzyskie;51
19.03.2020;Warmińsko-Mazurskie;97
19.03.2020;Wielkopolskie;186
19.03.2020;Zachodniopomorskie;84
20.03.2020;Dolnośląskie;138
20.03.2020;Kujawsko-Pomorskie;0
20.03.2020;Lubelskie;177
20.03.2020;Lubuskie;142
20.03.2020;Łódzkie;324
20.03.2020;Małopolskie;48
20.03.2020;Mazowieckie;244
20.03.2020;Opolskie;35
20.03.2020;Podkarpackie;121
20.03.2020;Podlaskie;115
20.03.2020;Pomorskie;78
20.03.2020;Śląskie;165
20.03.2020;Świętokrzyskie;51
20.03.2020;Warmińsko-Mazurskie;41
20.03.2020;Wielkopolskie;448
20.03.2020;Zachodniopomorskie;48
21.03.2020;Dolnośląskie;197
21.03.2020;Kujawsko-Pomorskie;0
21.03.2020;Lubelskie;194
21.03.2020;Lubuskie;126
21.03.2020;Łódzkie;145
21.03.2020;Małopolskie;125
21.03.2020;Mazowieckie;287
21.03.2020;Opolskie;14
21.03.2020;Podkarpackie;75
21.03.2020;Podlaskie;45
21.03.2020;Pomorskie;198
21.03.2020;Śląskie;175
21.03.2020;Świętokrzyskie;60
21.03.2020;Warmińsko-Mazurskie;154
21.03.2020;Wielkopolskie;275
21.03.2020;Zachodniopomorskie;31
22.03.2020;Dolnośląskie;188
22.03.2020;Kujawsko-Pomorskie;0
22.03.2020;Lubelskie;187
22.03.2020;Lubuskie;162
22.03.2020;Łódzkie;213
22.03.2020;Małopolskie;168
22.03.2020;Mazowieckie;805
22.03.2020;Opolskie;30
